Fiscal Year,Year Month,Borough,Time View,Is FY Total,Is Month Total,Check Row,Requests,Requests (Daily)
FY2025,,STATEN ISLAND,PY,FALSE,TRUE,1,,
FY2025,,STATEN ISLAND,YoY %,FALSE,TRUE,1,,
FY2025,,UNKNOWN,Current,FALSE,TRUE,1,2135,2135
FY2025,,UNKNOWN,FYTD,FALSE,TRUE,1,2135,
FY2025,,UNKNOWN,PY,FALSE,TRUE,1,,
FY2025,,UNKNOWN,YoY %,FALSE,TRUE,1,,
FY2025,2024-07,BRONX,Current,FALSE,FALSE,1,,
FY2025,2024-07,BRONX,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-07,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-07,BROOKLYN,Current,FALSE,FALSE,1,,
FY2025,2024-07,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-07,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-07,MANHATTAN,Current,FALSE,FALSE,1,,
FY2025,2024-07,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2024-07,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-07,QUEENS,Current,FALSE,FALSE,1,,
FY2025,2024-07,QUEENS,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-07,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-07,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2025,2024-07,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-07,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-07,UNKNOWN,Current,FALSE,FALSE,1,,
FY2025,2024-07,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2025,2024-07,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2024-07,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,BRONX,Current,FALSE,FALSE,1,,
FY2025,2024-08,BRONX,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-08,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,BROOKLYN,Current,FALSE,FALSE,1,,
FY2025,2024-08,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-08,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,MANHATTAN,Current,FALSE,FALSE,1,,
FY2025,2024-08,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2024-08,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,QUEENS,Current,FALSE,FALSE,1,,
FY2025,2024-08,QUEENS,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-08,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2025,2024-08,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-08,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-08,UNKNOWN,Current,FALSE,FALSE,1,,
FY2025,2024-08,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2025,2024-08,UNKNOWN,PY,FALSE,FALSE,1,,
